,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lata,40.16,-8.33,55.0,100,75,3.36,PT,1607530078
1,ushuaia,-54.8,-68.3,53.6,66,75,11.41,AR,1607529952
2,busselton,-33.65,115.33,63.0,84,0,1.01,AU,1607530078
3,soyo,-6.13,12.37,79.81,78,83,9.42,AO,1607530078
4,delta del tigre,5.5,6.0,83.35,75,100,5.82,NG,1607530078
5,languyan,5.26,120.08,80.94,85,62,5.53,PH,1607530079
6,port elizabeth,-7.03,29.76,77.92,65,80,3.76,CD,1607529836
7,puerto ayora,36.59,-6.23,59.0,67,90,4.7,ES,1607530079
8,saint-philippe,-21.36,55.77,75.2,73,0,21.92,RE,1607530079
9,kruisfontein,-34.0,24.73,70.0,82,24,7.0,ZA,1607530079
10,ribeira grande,42.75,-8.44,48.99,100,90,6.93,ES,1607530079
11,hithadhoo,-0.6,73.08,82.38,68,34,6.62,MV,1607530079
12,norman wells,35.22,-97.44,55.0,34,1,4.7,US,1607530080
13,geraldton,-28.77,114.6,69.8,77,90,12.75,AU,1607529885
14,lompoc,34.64,-120.46,50.0,29,1,11.41,US,1607530023
15,tuatapere,-46.13,167.68,49.08,90,46,3.8,NZ,1607530080
16,faanui,-16.48,-151.75,79.27,75,100,14.27,PF,1607530080
17,avarua,-21.21,-159.78,77.0,88,1,5.82,CK,1607530080
18,mahebourg,-20.41,57.7,75.2,83,75,12.75,MU,1607530080
19,bansang,13.43,-14.65,96.8,26,0,6.93,GM,1607530080
20,kenora,49.82,-94.43,26.6,92,5,8.05,CA,1607529976
21,vaini,-21.2,-175.2,77.0,94,75,12.75,TO,1607529842
22,clyde river,41.3,-82.98,41.0,80,100,15.28,US,1607530081
23,rikitea,-23.12,-134.97,76.73,80,9,15.17,PF,1607530081
24,padang,-0.95,100.35,77.95,77,100,3.24,ID,1607530081
25,chumikan,54.72,135.31,6.93,90,95,17.36,RU,1607530081
26,cobourg,50.27,10.97,37.99,86,100,1.83,DE,1607530081
27,new norfolk,6.65,-10.59,86.0,74,75,6.93,LR,1607530082
28,constitucion,-35.33,-72.42,67.03,45,0,17.22,CL,1607529885
29,leningradskiy,69.38,178.42,-1.17,87,0,7.49,RU,1607530082
30,achern,48.63,8.08,37.4,87,90,6.93,DE,1607530082
31,sorong,-0.88,131.25,82.53,84,83,13.29,ID,1607530082
32,oktyabrskiy,54.48,53.47,9.59,90,0,3.44,RU,1607530083
33,mataura,-46.19,168.86,45.09,86,17,2.21,NZ,1607530083
34,maniitsoq,65.42,-52.9,22.68,79,72,6.82,GL,1607530083
35,jamestown,42.1,-79.24,32.0,100,90,10.29,US,1607530083
36,meiganga,6.52,14.3,86.41,19,76,6.15,CM,1607530083
37,albany,42.6,-73.97,28.99,74,100,4.72,US,1607530068
